id,name,score1,score2
1,Student_1,75,98
2,Student_2,50,77
3,Student_3,54,52
4,Student_4,82,69
5,Student_5,98,96
6,Student_6,59,93
7,Student_7,75,82
8,Student_8,83,68
9,Student_9,72,98
10,Student_10,50,50
11,Student_11,75,50
12,Student_12,51,93
13,Student_13,99,57
14,Student_14,59,100
15,Student_15,96,89
16,Student_16,92,67
17,Student_17,63,93
18,Student_18,67,62
19,Student_19,83,75
20,Student_20,62,69
21,Student_21,81,78
22,Student_22,57,78
23,Student_23,59,98
24,Student_24,89,70
25,Student_25,97,64
26,Student_26,77,52
27,Student_27,64,51
28,Student_28,54,56
29,Student_29,98,50
30,Student_30,84,87
31,Student_31,67,84
32,Student_32,71,87
33,Student_33,76,90
34,Student_34,96,88
35,Student_35,77,58
36,Student_36,90,55
37,Student_37,97,81
38,Student_38,78,73
39,Student_39,52,70
40,Student_40,55,85
41,Student_41,50,69
42,Student_42,77,68
43,Student_43,60,56
44,Student_44,92,97
45,Student_45,66,60
46,Student_46,90,76
47,Student_47,88,85
48,Student_48,82,66
49,Student_49,69,52
50,Student_50,66,55
51,Student_51,71,55
52,Student_52,59,82
53,Student_53,88,83
54,Student_54,84,66
55,Student_55,70,50
56,Student_56,74,86
57,Student_57,99,69
58,Student_58,84,57
59,Student_59,74,80
60,Student_60,54,65
61,Student_61,80,100
62,Student_62,97,86
63,Student_63,57,80
64,Student_64,69,97
65,Student_65,86,62
66,Student_66,90,73
67,Student_67,99,67
68,Student_68,79,63
69,Student_69,65,55
70,Student_70,76,83
71,Student_71,89,84
72,Student_72,58,87
73,Student_73,92,82
74,Student_74,71,69
75,Student_75,65,68
76,Student_76,61,84
77,Student_77,80,64
78,Student_78,60,100
79,Student_79,89,87
80,Student_80,64,54
81,Student_81,87,94
82,Student_82,100,93
83,Student_83,65,91
84,Student_84,82,68
85,Student_85,87,73
86,Student_86,51,91
87,Student_87,68,66
88,Student_88,66,60
89,Student_89,73,50
90,Student_90,82,86
91,Student_91,79,52
92,Student_92,85,71
93,Student_93,56,95
94,Student_94,63,51
95,Student_95,97,73
96,Student_96,88,58
97,Student_97,67,53
98,Student_98,80,73
99,Student_99,95,76
100,Student_100,71,69
101,Student_101,76,74
102,Student_102,61,54
103,Student_103,74,86
104,Student_104,65,79
105,Student_105,55,91
106,Student_106,96,91
107,Student_107,72,64
108,Student_108,87,87
109,Student_109,82,53
110,Student_110,71,65
111,Student_111,70,64
112,Student_112,73,97
113,Student_113,78,99
114,Student_114,93,52
115,Student_115,100,84
116,Student_116,87,69
117,Student_117,52,53
118,Student_118,85,71
119,Student_119,76,68
120,Student_120,81,85
121,Student_121,81,90
122,Student_122,94,69
123,Student_123,68,65
124,Student_124,100,69
125,Student_125,65,97
126,Student_126,81,67
127,Student_127,68,58
128,Student_128,92,71
129,Student_129,53,82
130,Student_130,78,60
131,Student_131,50,89
132,Student_132,66,54
133,Student_133,97,81
134,Student_134,77,99
135,Student_135,62,64
136,Student_136,96,80
137,Student_137,58,53
138,Student_138,65,55
139,Student_139,73,84
140,Student_140,67,100
141,Student_141,67,71
142,Student_142,59,90
143,Student_143,60,69
144,Student_144,59,96
145,Student_145,72,57
146,Student_146,54,81
147,Student_147,95,94
148,Student_148,86,59
149,Student_149,55,63
150,Student_150,50,54
151,Student_151,93,94
152,Student_152,53,54
153,Student_153,63,61
154,Student_154,77,57
155,Student_155,70,86
156,Student_156,89,69
157,Student_157,51,80
158,Student_158,76,98
159,Student_159,74,88
160,Student_160,92,89
161,Student_161,89,98
162,Student_162,81,98
163,Student_163,63,98
164,Student_164,68,52
165,Student_165,90,84
166,Student_166,53,97
167,Student_167,59,59
168,Student_168,84,95
169,Student_169,88,56
170,Student_170,54,80
171,Student_171,50,64
172,Student_172,77,78
173,Student_173,69,80
174,Student_174,81,92
175,Student_175,80,62
176,Student_176,67,64
177,Student_177,72,66
178,Student_178,61,78
179,Student_179,96,95
180,Student_180,66,76
181,Student_181,62,97
182,Student_182,82,68
183,Student_183,87,76
184,Student_184,82,79
185,Student_185,50,64
186,Student_186,79,74
187,Student_187,84,51
188,Student_188,74,54
189,Student_189,89,93
190,Student_190,69,66
191,Student_191,69,85
192,Student_192,98,78
193,Student_193,92,88
194,Student_194,99,75
195,Student_195,57,100
196,Student_196,100,79
197,Student_197,84,61
198,Student_198,79,87
199,Student_199,90,59
200,Student_200,58,54
201,Student_201,60,55
202,Student_202,89,65
203,Student_203,89,50
204,Student_204,84,64
205,Student_205,81,74
206,Student_206,83,65
207,Student_207,53,73
208,Student_208,62,98
209,Student_209,66,54
210,Student_210,81,69
211,Student_211,52,66
212,Student_212,99,52
213,Student_213,54,72
214,Student_214,67,79
215,Student_215,87,51
216,Student_216,76,97
217,Student_217,74,94
218,Student_218,74,55
219,Student_219,61,54
220,Student_220,60,94
221,Student_221,88,78
222,Student_222,55,54
223,Student_223,57,53
224,Student_224,71,60
225,Student_225,56,100
226,Student_226,50,59
227,Student_227,88,79
228,Student_228,83,96
229,Student_229,98,71
230,Student_230,55,73
231,Student_231,93,91
232,Student_232,57,72
233,Student_233,69,54
234,Student_234,85,66
235,Student_235,79,72
236,Student_236,61,100
237,Student_237,87,92
238,Student_238,52,83
239,Student_239,95,55
240,Student_240,82,62
241,Student_241,89,97
242,Student_242,52,88
243,Student_243,77,76
244,Student_244,78,63
245,Student_245,90,56
246,Student_246,90,57
247,Student_247,85,94
248,Student_248,84,76
249,Student_249,62,65
250,Student_250,59,100
251,Student_251,68,76
252,Student_252,55,90
253,Student_253,73,76
254,Student_254,77,80
255,Student_255,54,50
256,Student_256,98,87
257,Student_257,75,97
258,Student_258,82,60
259,Student_259,92,74
260,Student_260,62,55
261,Student_261,93,87
262,Student_262,66,99
263,Student_263,67,100
264,Student_264,92,95
265,Student_265,96,100
266,Student_266,77,53
267,Student_267,92,63
268,Student_268,71,87
269,Student_269,55,51
270,Student_270,71,95
271,Student_271,67,98
272,Student_272,56,78
273,Student_273,87,82
274,Student_274,52,56
275,Student_275,78,79
276,Student_276,70,58
277,Student_277,83,68
278,Student_278,90,56
279,Student_279,88,58
280,Student_280,63,86
281,Student_281,61,50
282,Student_282,86,65
283,Student_283,64,70
284,Student_284,52,75
285,Student_285,54,97
286,Student_286,53,91
287,Student_287,64,92
288,Student_288,81,84
289,Student_289,99,55
290,Student_290,90,50
291,Student_291,59,95
292,Student_292,53,56
293,Student_293,85,54
294,Student_294,55,53
295,Student_295,71,68
296,Student_296,72,60
297,Student_297,81,87
298,Student_298,65,73
299,Student_299,57,56
300,Student_300,65,74
301,Student_301,68,96
302,Student_302,89,98
303,Student_303,68,95
304,Student_304,83,89
305,Student_305,91,82
306,Student_306,92,82
307,Student_307,73,95
308,Student_308,88,63
309,Student_309,89,91
310,Student_310,60,80
311,Student_311,88,99
312,Student_312,60,77
313,Student_313,86,82
314,Student_314,83,79
315,Student_315,56,71
316,Student_316,65,68
317,Student_317,56,68
318,Student_318,84,89
319,Student_319,93,63
320,Student_320,86,53
321,Student_321,96,99
322,Student_322,75,59
323,Student_323,60,76
324,Student_324,88,74
325,Student_325,78,66
326,Student_326,68,79
327,Student_327,85,93
328,Student_328,65,95
329,Student_329,82,55
330,Student_330,61,64
331,Student_331,94,52
332,Student_332,53,50
333,Student_333,55,72
334,Student_334,64,74
335,Student_335,83,51
336,Student_336,53,51
337,Student_337,61,73
338,Student_338,67,67
339,Student_339,72,90
340,Student_340,89,88
341,Student_341,90,75
342,Student_342,98,77
343,Student_343,53,83
344,Student_344,95,88
345,Student_345,75,50
346,Student_346,71,70
347,Student_347,52,60
348,Student_348,62,66
349,Student_349,99,68
350,Student_350,68,67
351,Student_351,96,78
352,Student_352,83,70
353,Student_353,96,84
354,Student_354,98,90
355,Student_355,88,58
356,Student_356,90,56
357,Student_357,62,51
358,Student_358,96,70
359,Student_359,63,81
360,Student_360,63,60
361,Student_361,71,75
362,Student_362,66,70
363,Student_363,77,70
364,Student_364,85,50
365,Student_365,99,51
366,Student_366,95,56
367,Student_367,95,84
368,Student_368,66,50
369,Student_369,82,95
370,Student_370,75,55
371,Student_371,73,50
372,Student_372,94,75
373,Student_373,69,99
374,Student_374,67,55
375,Student_375,66,85
376,Student_376,86,80
377,Student_377,53,81
378,Student_378,59,96
379,Student_379,87,64
380,Student_380,94,76
381,Student_381,77,57
382,Student_382,100,100
383,Student_383,51,65
384,Student_384,86,93
385,Student_385,97,54
386,Student_386,93,65
387,Student_387,63,77
388,Student_388,70,65
389,Student_389,90,87
390,Student_390,59,85
391,Student_391,79,50
392,Student_392,95,98
393,Student_393,86,97
394,Student_394,74,75
395,Student_395,79,50
396,Student_396,86,67
397,Student_397,70,95
398,Student_398,80,91
399,Student_399,66,97
400,Student_400,84,62
401,Student_401,57,72
402,Student_402,57,78
403,Student_403,95,57
404,Student_404,56,51
405,Student_405,76,98
406,Student_406,87,75
407,Student_407,66,65
408,Student_408,79,94
409,Student_409,73,84
410,Student_410,93,84
411,Student_411,55,58
412,Student_412,51,57
413,Student_413,67,73
414,Student_414,50,61
415,Student_415,70,68
416,Student_416,71,63
417,Student_417,92,80
418,Student_418,67,96
419,Student_419,65,96
420,Student_420,67,87
421,Student_421,89,92
422,Student_422,71,51
423,Student_423,92,51
424,Student_424,66,53
425,Student_425,82,84
426,Student_426,54,84
427,Student_427,72,90
428,Student_428,92,55
429,Student_429,100,50
430,Student_430,88,84
431,Student_431,97,82
432,Student_432,69,76
433,Student_433,86,77
434,Student_434,77,66
435,Student_435,95,66
436,Student_436,99,56
437,Student_437,82,63
438,Student_438,94,88
439,Student_439,83,99
440,Student_440,50,96
441,Student_441,65,72
442,Student_442,54,61
443,Student_443,56,66
444,Student_444,72,75
445,Student_445,87,75
446,Student_446,50,60
447,Student_447,62,60
448,Student_448,68,77
449,Student_449,61,76
450,Student_450,77,65
451,Student_451,77,78
452,Student_452,99,85
453,Student_453,79,76
454,Student_454,51,60
455,Student_455,80,94
456,Student_456,74,99
457,Student_457,54,95
458,Student_458,90,67
459,Student_459,62,86
460,Student_460,63,99
461,Student_461,51,88
462,Student_462,78,93
463,Student_463,66,75
464,Student_464,90,83
465,Student_465,97,100
466,Student_466,71,100
467,Student_467,76,88
468,Student_468,56,66
469,Student_469,93,94
470,Student_470,93,96
471,Student_471,56,94
472,Student_472,57,90
473,Student_473,57,58
474,Student_474,84,72
475,Student_475,69,67
476,Student_476,70,67
477,Student_477,71,67
478,Student_478,71,78
479,Student_479,91,67
480,Student_480,77,52
481,Student_481,98,53
482,Student_482,88,83
483,Student_483,59,83
484,Student_484,86,88
485,Student_485,90,92
486,Student_486,64,81
487,Student_487,61,55
488,Student_488,71,82
489,Student_489,69,51
490,Student_490,79,99
491,Student_491,97,63
492,Student_492,75,54
493,Student_493,58,74
494,Student_494,52,69
495,Student_495,98,79
496,Student_496,100,68
497,Student_497,55,91
498,Student_498,73,87
499,Student_499,79,99
500,Student_500,76,58
501,Student_501,72,92
502,Student_502,81,67
503,Student_503,73,89
504,Student_504,89,57
505,Student_505,73,52
506,Student_506,63,58
507,Student_507,54,71
508,Student_508,54,78
509,Student_509,82,82
510,Student_510,59,56
511,Student_511,95,82
512,Student_512,59,58
513,Student_513,58,75
514,Student_514,59,98
515,Student_515,68,82
516,Student_516,91,90
517,Student_517,52,89
518,Student_518,65,57
519,Student_519,73,59
520,Student_520,72,92
521,Student_521,65,89
522,Student_522,95,70
523,Student_523,88,72
524,Student_524,88,92
525,Student_525,79,64
526,Student_526,84,86
527,Student_527,69,84
528,Student_528,54,61
529,Student_529,63,52
530,Student_530,86,59
531,Student_531,93,77
532,Student_532,71,54
533,Student_533,79,87
534,Student_534,55,88
535,Student_535,91,81
536,Student_536,54,91
537,Student_537,82,91
538,Student_538,70,55
539,Student_539,86,57
540,Student_540,85,96
541,Student_541,90,86
542,Student_542,66,66
543,Student_543,79,99
544,Student_544,64,56
545,Student_545,83,55
546,Student_546,78,55
547,Student_547,79,88
548,Student_548,99,55
549,Student_549,97,83
550,Student_550,95,67
551,Student_551,78,97
552,Student_552,52,67
553,Student_553,100,92
554,Student_554,91,73
555,Student_555,61,76
556,Student_556,98,88
557,Student_557,73,53
558,Student_558,72,57
559,Student_559,71,78
560,Student_560,64,75
561,Student_561,55,85
562,Student_562,99,89
563,Student_563,80,94
564,Student_564,78,93
565,Student_565,70,68
566,Student_566,75,71
567,Student_567,86,76
568,Student_568,78,66
569,Student_569,99,70
570,Student_570,65,61
571,Student_571,53,91
572,Student_572,59,90
573,Student_573,95,71
574,Student_574,74,65
575,Student_575,52,59
576,Student_576,52,52
577,Student_577,50,54
578,Student_578,81,67
579,Student_579,55,69
580,Student_580,91,90
581,Student_581,76,80
582,Student_582,70,71
583,Student_583,82,97
584,Student_584,80,63
585,Student_585,83,73
586,Student_586,93,90
587,Student_587,93,72
588,Student_588,68,84
589,Student_589,50,83
590,Student_590,65,58
591,Student_591,91,73
592,Student_592,56,67
593,Student_593,71,92
594,Student_594,78,72
595,Student_595,87,85
596,Student_596,65,96
597,Student_597,70,100
598,Student_598,99,65
599,Student_599,59,73
600,Student_600,77,75
601,Student_601,78,50
602,Student_602,89,79
603,Student_603,63,66
604,Student_604,76,91
605,Student_605,54,61
606,Student_606,81,100
607,Student_607,93,76
608,Student_608,67,59
609,Student_609,84,78
610,Student_610,70,66
611,Student_611,98,78
612,Student_612,71,93
613,Student_613,95,53
614,Student_614,90,98
615,Student_615,75,53
616,Student_616,61,57
617,Student_617,54,67
618,Student_618,77,61
619,Student_619,60,66
620,Student_620,71,56
621,Student_621,100,78
622,Student_622,83,75
623,Student_623,70,55
624,Student_624,82,87
625,Student_625,63,68
626,Student_626,61,64
627,Student_627,51,91
628,Student_628,91,72
629,Student_629,50,98
630,Student_630,65,66
631,Student_631,75,74
632,Student_632,100,70
633,Student_633,93,60
634,Student_634,51,93
635,Student_635,56,52
636,Student_636,87,56
637,Student_637,66,79
638,Student_638,53,72
639,Student_639,78,87
640,Student_640,95,51
641,Student_641,64,65
642,Student_642,64,59
643,Student_643,73,58
644,Student_644,64,94
645,Student_645,80,52
646,Student_646,67,94
647,Student_647,82,99
648,Student_648,80,92
649,Student_649,64,65
650,Student_650,94,83
651,Student_651,84,83
652,Student_652,97,59
653,Student_653,53,62
654,Student_654,79,85
655,Student_655,65,69
656,Student_656,79,61
657,Student_657,72,52
658,Student_658,91,58
659,Student_659,98,65
660,Student_660,62,93
661,Student_661,68,77
662,Student_662,86,90
663,Student_663,67,95
664,Student_664,57,52
665,Student_665,95,66
666,Student_666,88,79
667,Student_667,82,90
668,Student_668,89,51
669,Student_669,64,65
670,Student_670,64,96
671,Student_671,86,63
672,Student_672,59,52
673,Student_673,87,98
674,Student_674,66,74
675,Student_675,74,83
676,Student_676,95,66
677,Student_677,61,74
