지역,온도
속초,26.6
북춘천,28.3
철원,28.6
동두천,29.0
파주,28.2
대관령,24.2
춘천,29.4
백령도,25.6
북강릉,27.4
강릉,28.3
동해,26.3
서울,29.5
인천,28.7
원주,28.6
울릉도,27.3
수원,28.9
영월,28.7
충주,28.3
서산,29.4
울진,28.2
청주,29.1
대전,29.6
추풍령,27.1
안동,28.7
상주,28.7
포항,29.2
군산,28.4
대구,29.6
전주,29.1
울산,30.9
창원,32.5
광주,29.7
부산,32.1
통영,31.5
목포,29.1
여수,30.7
흑산도,29.5
완도,29.2
고창,29.7
순천,28.9
홍성,30.8
서청주,28.3
제주,30.7
고산,29.1
성산,30.2
서귀포,30.7
진주,28.7
강화,27.9
양평,29.3
이천,29.9
인제,28.8
홍천,28.8
태백,27.5
정선군,28.3
제천,27.6
보은,28.4
천안,28.1
보령,29.4
부여,29.3
금산,28.5
세종,28.7
부안,29.2
임실,28.2
정읍,29.9
남원,29.1
장수,27.8
고창군,29.7
영광군,30.1
김해시,30.7
순창군,29.5
북창원,32.1
양산시,31.5
보성군,31.7
강진군,31.4
장흥,30.4
해남,30.1
고흥,31.0
의령군,29.7
함양군,28.8
광양시,30.4
진도군,29.5
봉화,26.7
영주,27.4
문경,28.6
청송군,28.3
영덕,29.2
의성,29.5
구미,30.0
영천,29.7
경주시,29.5
거창,29.1
합천,30.3
밀양,33.1
산청,29.2
거제,30.6
남해,31.0
북부산,32.1
